trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98019867330675525}",20,0,-184.78105139394472,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.96078943915232307}",25,0,-89.1724488610914,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9417645335842485}",30,0,-149.86919660202852,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.92311634638663553}",25,0,-195.77620300271926,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9048374180359593}",25,0,-137.85248861448767,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.88692043671715715}",25,11,7.685978718873791,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.86935823539880541}",20,0,-114.0625188912737,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8521437889662109}",25,0,-143.1796501708257,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.83527021141127156}",20,0,-95.50909863326156,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.81873075307798138}",25,0,-260.85717548463873,"{0: 11, 1: 3, 2: 4, 3: 3, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.80251879796247794}",30,0,-224.85270206824748,"{0: 15, 1: 1, 2: 8, 3: 4, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.7866278610665528}",20,0,-79.45262419527965,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7710515858035657}",25,0,-72.9884602754266,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.75578374145572491}",25,0,-89.87114054977519,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.74081822068171732}",25,0,-52.85444884526563,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.72614903707369038}",25,15,-32.80090679962407,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.7117703227626091}",25,0,-39.31549780916618,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.69767632607103036}",25,0,-18.675315500529283,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.68386140921235516}",20,5,-31.8442300301729,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.67032004603563855}",20,8,-26.018649941658246,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.65704681981505597}",30,5,-56.91563936223115,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.64403642108314052}",35,15,-38.756312074246765,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.63128364550692506}",20,0,-116.63770093551454,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.61878339180613995}",25,0,-126.41752347165044,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.60653065971263254}",20,13,11.330005081315825,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.59452054797019349}",20,0,-36.35587312422645,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.58274825237398875}",25,0,-59.22318666971722,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.57120906384881398}",25,6,-22.78181761294231,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.55989836656540115}",20,10,-2.0361203879356093,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.5488116360940255}",20,0,-123.83884611593191,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.53794443759467359}",20,0,11.44267143123973,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.52729242404304766}",25,7,-64.40542377885463,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
33,False,"{'a': 0.5, 'e': 0.51685133449169829}",30,15,-0.3711554219767197,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.50661699236558866}",25,0,-41.49392330274758,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.49658530379140858}",25,0,-129.1069655177205,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.48675225595997074}",30,11,-28.23269705397848,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.47711391552103349}",25,0,-118.87234859997284,"{0: 14, 1: 3, 2: 4, 3: 4, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.46766642700990835}",20,0,-3.1127701602313365,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.45840601130522263}",30,0,-106.79252647409659,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.44932896411722067}",20,7,10.341730723207153,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.44043165450599836}",30,22,-10.11266158740864,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.43171052342907879}",20,9,-0.487131093477317,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.42316208231774788}",30,11,-9.353893994024677,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.41478291168158044}",30,7,-11.314039620455205,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.40656965974059817}",20,9,-47.559878738666,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.39851904108451325}",25,14,-2.564622856512682,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.39062783535852019}",30,2,2.067833372078363,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.38289288597511112}",30,15,-39.06133758178928,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.37531109885139863}",20,9,-14.770473236435269,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.36787944117144139}",30,8,-16.22782271365746,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.36059494017307736}",20,12,-12.699417224779769,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.35345468195877922}",25,12,-86.74510758677702,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.34645581033005651}",25,0,-23.87749289732463,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.33959552564493822}",25,12,3.661148492142834,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.33287108369807861}",20,6,-1.0018467545098673,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.32627979462303852}",25,12,24.532886182841896,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.31981902181630295}",25,11,15.241645930493355,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.31348618088260438}",25,18,9.337708035856021,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.30727873860113031}",30,8,-39.16453828377287,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.30119421191220119}",25,7,-9.745628109672174,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.29523016692401333}",20,4,13.050839801414796,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.28938421793904978}",25,0,-15.55368848389639,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.28365402649976951}",25,0,-34.67106786334042,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.27803730045319325}",25,0,-59.847716935670235,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.2725317930340117}",20,13,2.051392502646718,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.2671353019658495}",20,5,-3.348990566648207,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.26184566858032515}",30,14,-14.145072710903204,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.25666077695355505}",30,18,13.162161627469718,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.25157855305975568}",25,0,-23.994166495310086,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
