trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,15,-48.51825998414921,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,15,-1.844084084479222,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.65590430364097,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.22333773492598,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.27565922898265,"{0: 11, 1: 4, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.74457101542285,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.40293951905716,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.0685005573847,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.59897235358372,"{0: 17, 1: 5, 2: 3, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.13285576843828,"{0: 16, 1: 7, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.20983850049961,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-65.3805282992722,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.6518974495329,"{0: 10, 1: 3, 2: 6, 3: 5, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-140.29591891052567,"{0: 20, 1: 5, 2: 8, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.0476153013074,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,15,4.868841985920217,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.11241008695109,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.39488629865106,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,2,-154.28818821601007,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 3}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.96405621851892,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.76574732008825,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.83554423560781,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-166.8150588191659,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,2,-48.175652158287036,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-231.43850485393722,"{0: 15, 1: 2, 2: 8, 3: 2, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.21878883157035,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.0491432155623,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-158.05792382667497,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-193.76818576234902,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-113.78855386784123,"{0: 23, 1: 6, 2: 4, 3: 0, 4: 2}",0
